time,cat_name,state,lick,bout,water
2025-12-31 22:24:20.928,unknown,1,0,0,1.40008
2025-12-31 22:24:21.936,unknown,0,0,0,1.3743
2025-12-31 22:24:21.000,unknown,1,0,0,1.37285
2025-12-31 22:24:21.048,unknown,0,1,0,1.36939
2025-12-31 22:24:22.040,unknown,0,0,0,1.37068
2025-12-31 22:24:26.832,unknown,1,0,0,1.37261
2025-12-31 22:24:27.760,unknown,0,0,0,1.37325
2025-12-31 22:24:31.248,unknown,1,0,0,1.36995
2025-12-31 22:24:32.400,unknown,0,0,0,1.37245
2025-12-31 22:24:32.480,unknown,1,0,0,1.36931
2025-12-31 22:24:32.528,unknown,0,1,0,1.37599
2025-12-31 22:24:33.520,unknown,0,0,0,1.34965
2025-12-31 22:24:37.632,unknown,1,0,0,1.37205
2025-12-31 22:24:38.592,unknown,0,0,0,1.37027
2025-12-31 22:24:42.304,unknown,1,0,0,1.35706
2025-12-31 22:24:43.264,unknown,0,0,0,1.3515
2025-12-31 22:24:46.512,unknown,1,0,0,1.35762
2025-12-31 22:24:46.576,unknown,0,1,0,1.35529
2025-12-31 22:24:46.752,unknown,1,1,0,1.3685
2025-12-31 22:24:47.664,unknown,0,1,0,1.35158
2025-12-31 22:24:48.672,unknown,0,0,0,1.3548
2025-12-31 22:24:52.192,unknown,1,0,0,1.35456
2025-12-31 22:24:53.456,unknown,0,0,0,1.35037
2025-12-31 22:24:59.184,unknown,1,0,0,1.35674
2025-12-31 22:24:59.312,unknown,0,1,0,1.3486
2025-12-31 22:24:59.376,unknown,1,1,0,1.3565
2025-12-31 22:25:00.528,unknown,0,1,0,1.35593
2025-12-31 22:25:01.520,unknown,0,0,0,1.35496
2025-12-31 22:25:03.856,unknown,1,0,0,1.36205
2025-12-31 22:25:03.080,unknown,0,1,0,1.35521
2025-12-31 22:25:04.128,unknown,1,1,0,1.35666
2025-12-31 22:25:05.088,unknown,0,1,0,1.3511
2025-12-31 22:25:06.096,unknown,0,0,0,1.35271
2025-12-31 22:25:09.312,unknown,1,0,0,1.35392
2025-12-31 22:25:10.336,unknown,0,0,0,1.35424
2025-12-31 22:25:10.640,unknown,1,0,0,1.35174
2025-12-31 22:25:10.704,unknown,0,1,0,1.34707
2025-12-31 22:25:11.696,unknown,0,0,0,1.35488
2025-12-31 22:25:19.088,unknown,1,0,0,1.35053
2025-12-31 22:25:20.208,unknown,0,0,0,1.34385
2025-12-31 22:25:23.856,unknown,1,0,0,1.34957
2025-12-31 22:25:23.032,unknown,0,1,0,1.3515
2025-12-31 22:25:24.096,unknown,1,1,0,1.36318
2025-12-31 22:25:24.992,unknown,0,1,0,1.3461
2025-12-31 22:25:25.408,unknown,1,1,0,1.33724
2025-12-31 22:25:25.456,unknown,0,2,0,1.3536
2025-12-31 22:25:26.464,unknown,0,0,0,1.34949
2025-12-31 22:25:29.840,unknown,1,0,0,1.34433
2025-12-31 22:25:30.784,unknown,0,0,0,1.34997
2025-12-31 22:25:35.136,unknown,1,0,0,1.34449
2025-12-31 22:25:35.216,unknown,0,1,0,1.33724
2025-12-31 22:25:35.424,unknown,1,1,0,1.33909
2025-12-31 22:25:35.520,unknown,0,2,0,1.33273
2025-12-31 22:25:35.648,unknown,1,2,0,1.33958
2025-12-31 22:25:36.512,unknown,0,2,0,1.33627
2025-12-31 22:25:37.488,unknown,0,0,0,1.3312
2025-12-31 22:25:40.336,unknown,1,0,0,1.34699
2025-12-31 22:25:40.416,unknown,0,1,0,1.33434
2025-12-31 22:25:40.496,unknown,1,1,0,1.3378
2025-12-31 22:25:41.344,unknown,0,1,0,1.33732
2025-12-31 22:25:42.336,unknown,0,0,0,1.33482
2025-12-31 22:25:45.664,unknown,1,0,0,1.332
2025-12-31 22:25:45.840,unknown,0,1,0,1.33418
2025-12-31 22:25:45.920,unknown,1,1,0,1.33232
2025-12-31 22:25:46.720,unknown,0,1,0,1.33845
2025-12-31 22:25:47.712,unknown,0,0,0,1.3345
2025-12-31 22:25:49.808,unknown,1,0,0,1.33797
2025-12-31 22:25:49.888,unknown,0,1,0,1.34038
2025-12-31 22:25:49.032,unknown,1,1,0,1.33216
2025-12-31 22:25:50.896,unknown,0,1,0,1.33829
2025-12-31 22:25:51.936,unknown,0,0,0,1.33386
2025-12-31 22:25:54.040,unknown,1,0,0,1.33249
2025-12-31 22:25:55.048,unknown,0,0,0,1.33289
2025-12-31 22:26:01.920,unknown,1,0,0,1.33571
2025-12-31 22:26:02.944,unknown,0,0,0,1.33506
2025-12-31 22:26:06.040,unknown,1,0,0,1.33643
2025-12-31 22:26:07.968,unknown,0,0,0,1.33136
2025-12-31 22:26:08.432,unknown,1,0,0,1.33684
2025-12-31 22:26:08.480,unknown,0,1,0,1.33869
2025-12-31 22:26:09.488,unknown,0,0,0,1.33329
2025-12-31 22:26:13.408,unknown,1,0,0,1.33555
2025-12-31 22:26:14.208,unknown,0,0,0,1.31702
2025-12-31 22:26:14.240,unknown,1,0,0,1.32443
2025-12-31 22:26:14.368,unknown,0,1,0,1.33506
2025-12-31 22:26:15.392,unknown,0,0,0,1.33523
2025-12-31 22:26:17.064,unknown,1,0,0,1.34191
2025-12-31 22:26:18.144,unknown,0,1,0,1.33305
2025-12-31 22:26:18.256,unknown,1,1,0,1.33869
2025-12-31 22:26:19.488,unknown,0,1,0,1.33756
2025-12-31 22:26:19.792,unknown,1,1,0,1.33933
2025-12-31 22:26:19.856,unknown,0,2,0,1.33345
2025-12-31 22:26:20.832,unknown,0,0,0,1.33233
2025-12-31 22:26:24.240,unknown,1,0,0,1.34393
2025-12-31 22:26:24.008,unknown,0,0,0,1.32177
2025-12-31 22:26:25.088,unknown,1,0,0,1.31976
2025-12-31 22:26:25.136,unknown,0,1,0,1.33321
2025-12-31 22:26:26.128,unknown,0,0,0,1.33305
2026-01-01 10:40:53.632,unknown,1,0,0,1.33692
2026-01-01 10:40:54.784,unknown,0,0,0,1.33023
2026-01-01 10:40:59.456,unknown,1,0,0,1.33079
2026-01-01 10:41:00.480,unknown,0,0,0,1.33458
2026-01-01 10:41:05.504,unknown,1,0,0,1.33539
2026-01-01 10:41:05.568,unknown,0,1,0,1.33805
2026-01-01 10:41:05.728,unknown,1,1,0,1.3366
