time,cat_name,state,lick,bout,water
2025-12-22 18:11:01.264,unknown,1,0,0,1.74163
2025-12-22 18:11:01.552,unknown,0,0,0,1.73776
2025-12-22 18:11:02.128,Handsome,1,0,0,1.73969
2025-12-22 18:11:02.512,Handsome,0,0,0,1.73857
2025-12-22 18:11:07.232,unknown,1,0,0,1.74139
2025-12-22 18:11:08.144,unknown,0,0,0,1.74058
2025-12-22 18:11:11.696,unknown,1,0,0,1.74453
2025-12-22 18:11:12.848,unknown,0,0,0,1.74147
2025-12-22 18:11:16.056,unknown,1,0,0,1.74316
2025-12-22 18:11:16.880,unknown,0,0,0,1.74477
2025-12-22 18:11:17.080,unknown,1,0,0,1.74026
2025-12-22 18:11:17.152,unknown,0,1,0,1.74082
2025-12-22 18:11:18.152,unknown,0,0,0,1.73865
2025-12-22 18:11:19.960,unknown,1,0,0,1.74155
2025-12-22 18:11:20.792,unknown,0,0,0,1.74469
2025-12-22 18:11:23.656,unknown,1,0,0,1.74453
2025-12-22 18:11:24.496,unknown,0,0,0,1.74002
2025-12-22 18:11:24.568,unknown,1,0,0,1.74251
2025-12-22 18:11:24.616,unknown,0,1,0,1.74066
2025-12-22 18:11:24.760,unknown,1,1,0,1.74364
2025-12-22 18:11:24.832,unknown,0,2,0,1.74276
2025-12-22 18:11:25.832,unknown,0,0,0,1.74042
2025-12-22 18:11:28.432,unknown,1,0,0,1.7401
2025-12-22 18:11:29.256,unknown,0,0,0,1.74276
2025-12-22 18:11:32.384,unknown,1,0,0,1.72624
2025-12-22 18:11:32.464,unknown,0,1,0,1.73631
2025-12-22 18:11:32.568,unknown,1,1,0,1.72326
2025-12-22 18:11:33.392,unknown,0,1,0,1.72326
2025-12-22 18:11:34.408,unknown,0,0,0,1.72592
2025-12-22 18:11:37.112,unknown,1,0,0,1.72366
2025-12-22 18:11:38.056,unknown,0,0,0,1.73986
2025-12-22 18:11:38.416,unknown,1,0,0,1.74155
2025-12-22 18:11:38.472,unknown,0,1,0,1.72108
2025-12-22 18:11:39.472,unknown,0,0,0,1.72527
2025-12-22 18:11:41.888,unknown,1,0,0,1.72342
2025-12-22 18:11:43.056,unknown,0,0,0,1.72415
2025-12-22 18:11:46.632,unknown,1,0,0,1.72463
2025-12-22 18:11:47.504,unknown,0,0,0,1.72286
2025-12-22 18:11:51.288,unknown,1,0,0,1.72253
2025-12-22 18:11:52.656,unknown,0,0,0,1.72261
2025-12-22 18:11:56.000,unknown,1,0,0,1.70642
2025-12-22 18:11:57.096,unknown,0,0,0,1.70715
2025-12-22 18:12:00.704,unknown,1,0,0,1.7065
2025-12-22 18:12:01.664,unknown,0,0,0,1.70739
2025-12-22 18:12:04.744,unknown,1,0,0,1.70489
2025-12-22 18:12:05.792,unknown,0,0,0,1.70658
