time,mono_ms,cat_name,state,lick,bout,water
2026-02-04 19:43:27.714,370849152,unknown,0,0,1,1.02834
2026-02-04 19:43:27.842,370849280,unknown,1,0,1,1.03375
2026-02-04 19:43:27.970,370849408,unknown,0,1,1,1.03602
2026-02-04 19:43:28.994,370850432,unknown,0,0,1,1.03205
2026-02-04 19:43:31.042,370852480,unknown,1,0,1,1.03794
2026-02-04 19:43:32.322,370853760,unknown,0,0,1,1.02818
2026-02-04 19:43:32.450,370853888,unknown,1,0,1,1.03141
2026-02-04 19:43:32.578,370854016,unknown,0,1,1,1.0327
2026-02-04 19:43:33.602,370855040,unknown,0,0,1,1.0323
2026-02-04 19:43:36.290,370857728,unknown,1,0,1,1.03617
2026-02-04 19:43:37.698,370859136,unknown,0,0,1,1.03609
2026-02-04 19:43:41.282,370862720,unknown,1,0,1,1.03359
2026-02-04 19:43:42.690,370864128,unknown,0,0,1,1.03359
2026-02-04 19:43:47.554,370868992,unknown,1,0,1,1.0331
2026-02-04 19:43:48.834,370870272,unknown,0,0,1,1.0448
2026-02-04 19:43:48.962,370870400,unknown,1,0,1,1.03634
2026-02-04 19:43:49.090,370870528,unknown,0,1,1,1.0348
2026-02-04 19:43:50.114,370871552,unknown,0,0,1,1.03899
2026-02-04 19:43:53.186,370874624,unknown,1,0,1,1.03665
2026-02-04 19:43:54.338,370875776,unknown,0,0,1,1.02971
2026-02-04 19:43:54.466,370875904,unknown,1,0,1,1.02899
2026-02-04 19:43:54.594,370876032,unknown,0,1,1,1.03528
2026-02-04 19:43:55.618,370877056,unknown,0,0,1,1.03617
2026-02-04 19:43:58.050,370879488,unknown,1,0,1,1.03576
2026-02-04 19:43:59.330,370880768,unknown,0,0,1,1.02915
2026-02-04 19:44:03.426,370884864,unknown,1,0,1,1.03294
2026-02-04 19:44:04.450,370885888,unknown,0,0,1,1.02398
2026-02-04 19:44:07.394,370888832,unknown,1,0,1,1.03641
2026-02-04 19:44:08.546,370889984,unknown,0,0,1,1.03851
2026-02-04 19:44:16.866,370898304,unknown,1,0,1,1.03706
2026-02-04 19:44:18.402,370899840,unknown,0,0,1,1.03302
2026-02-04 19:44:20.962,370902400,unknown,1,0,1,1.03513
2026-02-04 19:44:21.730,370903168,unknown,0,0,1,1.03262
2026-02-04 19:44:21.858,370903296,unknown,1,0,1,1.03729
2026-02-04 19:44:21.986,370903424,unknown,0,1,1,1.02552
2026-02-04 19:44:22.114,370903552,unknown,1,1,1,1.03593
2026-02-04 19:44:22.242,370903680,unknown,0,2,1,1.03059
2026-02-04 19:44:22.370,370903808,unknown,1,2,1,1.03157
2026-02-04 19:44:22.498,370903936,unknown,0,3,1,1.02793
2026-02-04 19:44:23.522,370904960,unknown,0,0,2,1.02915
2026-02-04 19:44:25.058,370906496,unknown,1,0,2,1.039
2026-02-04 19:44:26.082,370907520,unknown,0,0,2,1.0327
2026-02-04 19:44:26.210,370907648,unknown,1,0,2,1.02842
2026-02-04 19:44:26.338,370907776,unknown,0,1,2,1.03617
2026-02-04 19:44:27.234,370908672,unknown,1,1,2,1.0331
2026-02-04 19:44:27.362,370908800,unknown,0,2,2,1.0323
2026-02-04 19:44:28.386,370909824,unknown,0,0,2,1.02753
2026-02-04 19:44:28.770,370910208,unknown,1,0,2,1.03326
2026-02-04 19:44:29.538,370910976,unknown,0,0,2,1.03569
2026-02-04 19:44:29.666,370911104,unknown,1,0,2,1.03487
2026-02-04 19:44:29.794,370911232,unknown,0,1,2,1.03795
2026-02-04 19:44:30.818,370912256,unknown,0,0,2,1.02746
2026-02-04 19:44:33.122,370914560,unknown,1,0,2,1.03495
2026-02-04 19:44:34.530,370915968,unknown,0,0,2,1.03536
2026-02-04 19:44:37.602,370919040,unknown,1,0,2,1.03415
2026-02-04 19:44:39.138,370920576,unknown,0,0,2,1.02221
2026-02-04 19:44:41.954,370923392,unknown,1,0,2,1.03422
2026-02-04 19:44:43.234,370924672,unknown,0,0,2,1.02818
2026-02-04 19:44:47.330,370928768,unknown,1,0,2,1.02987
2026-02-04 19:44:48.482,370929920,unknown,0,0,2,1.02375
2026-02-04 19:44:48.610,370930048,unknown,1,0,2,1.02681
2026-02-04 19:44:48.738,370930176,unknown,0,1,2,1.03181
2026-02-04 19:44:49.762,370931200,unknown,0,0,2,1.03052
2026-02-04 19:44:57.314,370938752,unknown,1,0,2,1.04044
2026-02-04 19:44:58.722,370940160,unknown,0,0,2,1.01714
2026-02-04 19:46:28.834,371030272,unknown,1,0,2,1.0327
2026-02-04 19:46:30.498,371031936,unknown,0,0,2,1.01003
2026-02-04 19:46:36.130,371037568,unknown,1,0,2,1.02075
2026-02-04 19:46:37.410,371038848,unknown,0,0,2,1.01504
2026-02-04 19:46:41.250,371042688,unknown,1,0,2,1.01286
2026-02-04 19:46:42.402,371043840,unknown,0,0,2,1.01052
2026-02-04 19:46:46.370,371047808,unknown,1,0,2,1.01568
2026-02-04 19:46:47.394,371048832,unknown,0,0,2,1.01237
2026-02-04 19:46:47.522,371048960,unknown,1,0,2,1.01705
2026-02-04 19:46:47.650,371049088,unknown,0,1,2,1.01584
2026-02-04 19:46:48.674,371050112,unknown,0,0,2,1.01173
2026-02-04 19:46:53.154,371054592,unknown,1,0,2,1.01568
2026-02-04 19:46:54.562,371056000,unknown,0,0,2,1.01374
2026-02-04 19:46:58.658,371060096,unknown,1,0,2,1.02092
2026-02-04 19:46:59.810,371061248,unknown,0,0,2,1.01286
2026-02-04 19:47:03.906,371065344,unknown,1,0,2,1.01213
2026-02-04 19:47:05.058,371066496,unknown,0,0,2,1.01214
2026-02-04 19:47:05.314,371066752,unknown,1,0,2,1.0131
2026-02-04 19:47:05.442,371066880,unknown,0,1,2,1.01585
2026-02-04 19:47:06.466,371067904,unknown,0,0,2,1.02069
2026-02-04 19:47:09.026,371070464,unknown,1,0,2,1.01068
2026-02-04 19:47:09.922,371071360,unknown,0,0,2,1.00996
2026-02-04 19:47:10.050,371071488,unknown,1,0,2,1.01157
2026-02-04 19:47:10.178,371071616,unknown,0,1,2,1.01568
2026-02-04 19:47:11.202,371072640,unknown,0,0,2,1.01463
2026-02-04 19:47:13.762,371075200,unknown,1,0,2,1.00956
2026-02-04 19:47:14.530,371075968,unknown,0,0,2,1.0168
2026-02-04 19:47:20.162,371081600,unknown,1,0,2,1.01665
2026-02-04 19:47:21.058,371082496,unknown,0,0,2,1.00931
2026-02-04 19:47:24.514,371085952,unknown,1,0,2,1.01262
2026-02-04 19:47:25.410,371086848,unknown,0,0,2,1.01431
2026-02-04 19:47:25.666,371087104,unknown,1,0,2,1.01794
2026-02-04 19:47:25.794,371087232,unknown,0,1,2,1.021
2026-02-04 19:47:26.818,371088256,unknown,0,0,2,1.01076
2026-02-04 19:47:28.738,371090176,unknown,1,0,2,1.01673
2026-02-04 19:47:30.274,371091712,unknown,0,0,2,1.01754
2026-02-04 19:47:33.730,371095168,unknown,1,0,2,1.0127
2026-02-04 19:47:33.858,371095296,unknown,0,1,2,1.0123
2026-02-04 19:47:34.882,371096320,unknown,0,0,2,1.00995
2026-02-04 19:47:35.778,371097216,unknown,1,0,2,1.01544
2026-02-04 19:47:36.802,371098240,unknown,0,0,2,1.00995
2026-02-04 19:47:43.586,371105024,unknown,1,0,2,1.01656
2026-02-04 19:47:44.866,371106304,unknown,0,0,2,1.0094
2026-02-04 19:47:49.346,371110784,unknown,1,0,2,1.02261
