time,mono_ms,cat_name,state,lick,bout,water
2026-01-19 08:21:38.629,11018,unknown,1,0,0,1.37221
2026-01-19 08:21:39.025,11414,unknown,0,0,0,1.37269
2026-01-19 08:21:39.368,11757,unknown,1,0,0,1.37148
2026-01-19 08:21:39.741,12130,unknown,0,0,0,1.37213
2026-01-19 08:21:40.042,12431,unknown,1,0,0,1.37148
2026-01-19 08:21:40.356,12745,unknown,0,0,0,1.37027
2026-01-19 09:35:57.047,4469436,unknown,1,0,0,1.37777
2026-01-19 09:35:58.681,4471070,unknown,0,0,0,1.37374
2026-01-19 09:36:02.565,4474954,unknown,1,0,0,1.37511
2026-01-19 09:36:03.355,4475744,unknown,0,0,0,1.37535
2026-01-19 09:36:07.189,4479578,unknown,1,0,0,1.37422
2026-01-19 09:36:08.067,4480456,unknown,0,0,0,1.37188
2026-01-19 09:36:12.287,4484676,unknown,1,0,0,1.37865
2026-01-19 09:36:12.391,4484780,unknown,0,1,0,1.36705
2026-01-19 09:36:12.497,4484886,unknown,1,1,0,1.37414
2026-01-19 09:36:13.275,4485664,unknown,0,1,0,1.35553
2026-01-19 09:36:14.275,4486664,unknown,0,0,0,1.37124
2026-01-19 09:36:17.247,4489636,unknown,1,0,0,1.37076
2026-01-19 09:36:17.983,4490372,unknown,0,0,0,1.35166
2026-01-19 09:36:18.035,4490424,unknown,1,0,0,1.35271
2026-01-19 09:36:18.101,4490490,unknown,0,1,0,1.37116
2026-01-19 09:36:19.105,4491494,unknown,0,0,0,1.35505
2026-01-19 09:36:23.117,4495506,unknown,1,0,0,1.37156
2026-01-19 09:36:23.199,4495588,unknown,0,1,0,1.37317
2026-01-19 09:36:23.351,4495740,unknown,1,1,0,1.36947
2026-01-19 09:36:23.805,4496194,unknown,0,1,0,1.35803
2026-01-19 09:36:23.861,4496250,unknown,1,1,0,1.354
2026-01-19 09:36:23.983,4496372,unknown,0,2,0,1.37213
2026-01-19 09:36:24.103,4496492,unknown,1,2,0,1.35134
2026-01-19 09:36:24.213,4496602,unknown,0,3,0,1.3548
2026-01-19 09:36:25.217,4497606,unknown,0,0,1,1.37132
2026-01-19 09:36:27.861,4500250,unknown,1,0,1,1.37615
2026-01-19 09:36:28.367,4500756,unknown,0,0,1,1.35013
2026-01-19 09:36:28.419,4500808,unknown,1,0,1,1.35778
2026-01-19 09:36:28.567,4500956,unknown,0,1,1,1.3772
2026-01-19 09:36:29.567,4501956,unknown,0,0,1,1.3519
2026-01-19 09:36:32.753,4505142,unknown,1,0,1,1.35593
