time,cat_name,state,lick,bout,water
2025-10-17 09:55:04.662,unknown,1,0,0,0.971846
2025-10-17 09:55:04.751,unknown,0,1,0,0.964917
2025-10-17 09:55:05.943,unknown,1,1,0,0.968221
2025-10-17 09:55:05.032,unknown,0,2,0,0.965803
2025-10-17 09:55:05.176,unknown,1,2,0,0.979661
2025-10-17 09:55:05.288,unknown,0,3,0,0.976439
2025-10-17 09:55:05.373,unknown,1,3,0,0.97813
2025-10-17 09:55:05.466,unknown,0,4,0,0.975552
2025-10-17 09:55:05.578,unknown,1,4,0,0.967253
2025-10-17 09:55:05.641,unknown,0,5,0,0.97668
2025-10-17 09:55:06.001,unknown,1,5,0,0.982964
2025-10-17 09:55:06.051,unknown,0,6,0,0.976439
2025-10-17 09:55:06.151,unknown,1,6,0,0.973699
2025-10-17 09:55:06.213,unknown,0,7,0,0.973538
2025-10-17 09:55:06.332,unknown,1,7,0,0.977486
2025-10-17 09:55:06.414,unknown,0,8,0,0.981434
2025-10-17 09:55:06.499,unknown,1,8,0,0.969912
2025-10-17 09:55:06.600,unknown,0,9,0,0.975229
2025-10-17 09:55:06.691,unknown,1,9,0,0.970556
2025-10-17 09:55:06.766,unknown,0,10,0,0.964756
2025-10-17 09:55:07.862,unknown,1,10,0,0.972249
2025-10-17 09:55:07.933,unknown,0,11,0,0.965803
2025-10-17 09:55:07.010,unknown,1,11,0,0.984012
2025-10-17 09:55:07.101,unknown,0,12,0,0.964836
2025-10-17 09:55:08.106,unknown,0,0,1,0.974666
2025-10-17 09:55:09.038,unknown,1,0,1,0.979097
2025-10-17 09:55:09.122,unknown,0,1,1,0.9766
2025-10-17 09:55:09.210,unknown,1,1,1,0.98514
2025-10-17 09:55:09.300,unknown,0,2,1,0.969107
2025-10-17 09:55:09.385,unknown,1,2,1,0.974747
2025-10-17 09:55:09.451,unknown,0,3,1,0.973699
2025-10-17 09:55:09.524,unknown,1,3,1,0.965401
2025-10-17 09:55:09.603,unknown,0,4,1,0.969832
2025-10-17 09:55:09.679,unknown,1,4,1,0.978694
2025-10-17 09:55:09.752,unknown,0,5,1,0.971363
2025-10-17 09:55:10.829,unknown,1,5,1,0.978694
2025-10-17 09:55:10.910,unknown,0,6,1,0.971766
2025-10-17 09:55:10.975,unknown,1,6,1,0.979339
2025-10-17 09:55:10.068,unknown,0,7,1,0.987315
2025-10-17 09:55:10.126,unknown,1,7,1,0.967012
2025-10-17 09:55:10.224,unknown,0,8,1,0.966851
2025-10-17 09:55:10.275,unknown,1,8,1,0.975633
2025-10-17 09:55:10.363,unknown,0,9,1,0.96669
2025-10-17 09:55:11.867,unknown,1,9,1,0.963709
2025-10-17 09:55:11.917,unknown,0,10,1,0.972168
2025-10-17 09:55:11.002,unknown,1,10,1,0.978775
2025-10-17 09:55:11.076,unknown,0,11,1,0.973699
2025-10-17 09:55:11.155,unknown,1,11,1,0.962661
2025-10-17 09:55:11.240,unknown,0,12,1,0.96677
2025-10-17 09:55:11.341,unknown,1,12,1,0.972651
2025-10-17 09:55:11.423,unknown,0,13,1,0.969751
2025-10-17 09:55:11.500,unknown,1,13,1,0.980064
2025-10-17 09:55:11.570,unknown,0,14,1,0.977244
2025-10-17 09:55:11.663,unknown,1,14,1,0.974747
2025-10-17 09:55:11.761,unknown,0,15,1,0.976277
2025-10-17 09:55:12.172,unknown,1,15,1,0.972088
2025-10-17 09:55:12.261,unknown,0,16,1,0.970396
2025-10-17 09:55:12.390,unknown,1,16,1,0.974263
2025-10-17 09:55:12.479,unknown,0,17,1,0.977486
2025-10-17 09:55:12.569,unknown,1,17,1,0.976519
2025-10-17 09:55:12.642,unknown,0,18,1,0.982884
2025-10-17 09:55:12.748,unknown,1,18,1,0.978372
2025-10-17 09:55:13.821,unknown,0,19,1,0.965482
2025-10-17 09:55:13.888,unknown,1,19,1,0.973458
2025-10-17 09:55:13.974,unknown,0,20,1,0.973377
2025-10-17 09:55:13.383,unknown,1,20,1,0.97958
2025-10-17 09:55:13.497,unknown,0,21,1,0.974988
2025-10-17 09:55:13.574,unknown,1,21,1,0.975391
2025-10-17 09:55:13.664,unknown,0,22,1,0.970718
2025-10-17 09:55:13.757,unknown,1,22,1,0.979097
2025-10-17 09:55:14.819,unknown,0,23,1,0.971363
2025-10-17 09:55:14.916,unknown,1,23,1,0.974827
2025-10-17 09:55:14.989,unknown,0,24,1,0.971685
2025-10-17 09:55:14.086,unknown,1,24,1,0.970315
2025-10-17 09:55:14.178,unknown,0,25,1,0.97668
2025-10-17 09:55:15.180,unknown,0,0,2,0.965964
2025-10-17 11:26:53.770,unknown,1,0,2,0.9795
2025-10-17 11:26:53.866,unknown,0,1,2,0.969993
2025-10-17 11:26:53.006,unknown,1,1,2,0.981594
2025-10-17 11:26:53.094,unknown,0,2,2,0.970396
2025-10-17 11:26:53.200,unknown,1,2,2,0.983689
2025-10-17 11:26:54.304,unknown,0,3,2,0.967978
2025-10-17 11:26:54.406,unknown,1,3,2,0.972168
2025-10-17 11:26:54.502,unknown,0,4,2,0.97378
2025-10-17 11:26:54.566,unknown,1,4,2,0.977727
2025-10-17 11:26:54.644,unknown,0,5,2,0.970637
2025-10-17 11:26:54.744,unknown,1,5,2,0.977244
2025-10-17 11:26:54.830,unknown,0,6,2,0.971363
2025-10-17 11:26:54.926,unknown,1,6,2,0.970154
2025-10-17 11:26:54.018,unknown,0,7,2,0.966126
2025-10-17 11:26:54.096,unknown,1,7,2,0.96814
2025-10-17 11:26:54.178,unknown,0,8,2,0.971202
2025-10-17 11:26:54.270,unknown,1,8,2,0.969429
2025-10-17 11:26:55.348,unknown,0,9,2,0.970234
2025-10-17 11:26:55.432,unknown,1,9,2,0.977002
2025-10-17 11:26:55.514,unknown,0,10,2,0.976036
2025-10-17 11:26:56.516,unknown,0,0,3,0.966931
2025-10-17 12:20:38.867,unknown,1,0,0,1.59172
2025-10-17 12:20:38.950,unknown,0,1,0,1.59261
2025-10-17 12:20:38.210,unknown,1,1,0,1.58914
2025-10-17 12:20:38.257,unknown,0,1,0,1.59648
2025-10-17 12:20:38.334,unknown,1,1,0,1.59309
2025-10-17 12:20:38.411,unknown,0,2,0,1.58858
2025-10-17 12:20:38.657,unknown,1,2,0,1.59495
2025-10-17 12:20:38.741,unknown,0,3,0,1.59221
2025-10-17 12:20:39.955,unknown,1,3,0,1.58753
2025-10-17 12:20:39.032,unknown,0,4,0,1.59358
2025-10-17 12:20:39.116,unknown,1,4,0,1.60349
2025-10-17 12:20:39.172,unknown,0,5,0,1.58689
2025-10-17 12:20:39.280,unknown,1,5,0,1.5856
2025-10-17 12:20:39.329,unknown,0,5,0,1.5947
2025-10-17 12:20:39.447,unknown,1,5,0,1.58923
2025-10-17 12:20:39.499,unknown,0,6,0,1.59366
2025-10-17 12:20:39.588,unknown,1,6,0,1.59599
2025-10-17 12:20:39.656,unknown,0,7,0,1.58802
2025-10-17 12:20:39.740,unknown,1,7,0,1.59301
2025-10-17 12:20:40.830,unknown,0,8,0,1.58923
2025-10-17 12:20:40.890,unknown,1,8,0,1.59156
2025-10-17 12:20:40.002,unknown,0,9,0,1.59366
2025-10-17 12:20:40.073,unknown,1,9,0,1.59341
2025-10-17 12:20:40.160,unknown,0,10,0,1.59374
2025-10-17 12:20:40.221,unknown,1,10,0,1.58729
2025-10-17 12:20:40.341,unknown,0,11,0,1.59366
2025-10-17 12:20:41.343,unknown,0,0,1,1.59575
2025-10-17 12:33:49.652,unknown,0,0,0,1.59221
2025-10-17 12:33:50.634,bob,0,0,0,1.59027
2025-10-17 12:33:56.934,unknown,0,0,0,1.59511
2025-10-17 12:33:58.763,bob,0,0,0,1.59374
2025-10-17 12:34:00.006,unknown,0,0,0,1.59204
2025-10-17 12:34:02.821,bob,0,0,0,1.59446
2025-10-17 12:37:57.598,unknown,0,0,0,1.59285
2025-10-17 12:38:00.729,bob,0,0,0,1.5939
2025-10-17 12:38:01.286,unknown,0,0,0,1.59438
2025-10-17 12:38:02.280,bob,0,0,0,1.59221
2025-10-17 16:13:08.067,unknown,1,0,0,1.16598
2025-10-17 16:13:10.421,unknown,0,0,0,1.1634
2025-10-17 16:13:15.546,unknown,1,0,0,1.16316
2025-10-17 16:13:16.654,unknown,0,0,0,1.15648
2025-10-17 16:13:16.708,unknown,1,0,0,1.16341
2025-10-17 16:13:16.820,unknown,0,1,0,1.15704
2025-10-17 16:13:17.822,unknown,0,0,0,1.16236
2025-10-17 16:13:21.002,unknown,1,0,0,1.16163
2025-10-17 16:13:22.124,unknown,0,0,0,1.16171
2025-10-17 16:13:26.294,unknown,1,0,0,1.15833
2025-10-17 16:13:26.357,unknown,0,1,0,1.16163
2025-10-17 16:13:26.844,unknown,1,1,0,1.16268
2025-10-17 16:13:28.912,unknown,0,1,0,1.16413
2025-10-17 16:13:28.964,unknown,1,1,0,1.16059
2025-10-17 16:13:28.017,unknown,0,2,0,1.15648
2025-10-17 16:13:29.021,unknown,0,0,0,1.15688
2025-10-17 16:13:31.765,unknown,1,0,0,1.16324
2025-10-17 16:13:33.927,unknown,0,0,0,1.15688
2025-10-17 16:13:37.568,unknown,1,0,0,1.16486
2025-10-17 16:13:38.713,unknown,0,0,0,1.15583
2025-10-17 16:13:39.017,unknown,1,0,0,1.15696
2025-10-17 16:13:39.067,unknown,0,1,0,1.15801
2025-10-17 16:13:40.069,unknown,0,0,0,1.15897
2025-10-17 16:13:42.094,unknown,1,0,0,1.16349
2025-10-17 16:13:43.538,unknown,0,0,0,1.16179
2025-10-17 16:13:47.469,unknown,1,0,0,1.1626
2025-10-17 16:13:48.742,unknown,0,0,0,1.16252
2025-10-17 16:13:52.430,unknown,1,0,0,1.16429
2025-10-17 16:13:53.736,unknown,0,0,0,1.16115
2025-10-17 16:13:57.206,unknown,1,0,0,1.16284
2025-10-17 16:13:57.371,unknown,0,0,0,1.1593
2025-10-17 16:13:57.513,unknown,1,0,0,1.15736
2025-10-17 16:13:59.197,unknown,0,0,0,1.15825
2025-10-17 16:14:03.463,unknown,1,0,0,1.15728
2025-10-17 16:14:04.836,unknown,0,0,0,1.15849
2025-10-17 16:14:04.885,unknown,1,0,0,1.16067
2025-10-17 16:14:05.017,unknown,0,1,0,1.15873
2025-10-17 16:14:06.019,unknown,0,0,0,1.15946
2025-10-17 16:14:08.110,unknown,1,0,0,1.16018
2025-10-17 16:14:09.147,unknown,0,0,0,1.16574
2025-10-17 16:14:12.215,unknown,1,0,0,1.16252
2025-10-17 16:14:13.353,unknown,0,0,0,1.16075
2025-10-17 16:14:17.994,unknown,1,0,0,1.16357
2025-10-17 16:14:17.041,unknown,0,0,0,1.15938
2025-10-17 16:14:17.147,unknown,1,0,0,1.16405
2025-10-17 16:14:18.413,unknown,0,0,0,1.16397
2025-10-17 16:14:18.461,unknown,1,0,0,1.15978
2025-10-17 16:14:18.509,unknown,0,0,0,1.16195
2025-10-17 16:14:21.910,unknown,1,0,0,1.15817
